,0,1
0,give,3
1,stay,1
2,went,4
3,em,1
4,sings,1
5,better,3
6,well,3
7,fine,1
8,wood,3
9,trywent,1
10,morning,1
11,left,1
12,great,5
13,fall,1
14,wife,8
15,slipped,5
16,worth,3
17,try,2
18,quiet,1
19,bridge,3
20,saw,8
21,snoring,3
22,supper,4
23,know,1
24,gave,2
25,voice,2
26,laymiddle,1
27,kill,1
28,youngest,3
29,floor,1
30,girl,2
31,say,8
32,finger,1
33,wear,1
34,manage,2
35,pulled,2
36,dreadful,1
37,dark,2
38,take,2
39,lassie,7
40,eat,2
41,every,1
42,sister,8
43,strangeryoungest,1
44,neck,4
45,cant,1
46,told,2
47,ran,10
48,ere,1
49,want,1
50,gripped,1
51,couldnt,3
52,crept,3
53,touch,1
54,word,1
55,fire,1
56,eh,1
57,ye,9
58,big,3
59,molly,27
60,felt,1
61,stickmolly,1
62,milk,1
63,going,1
64,spainmolly,1
65,thinking,1
66,put,6
67,strange,1
68,done,2
69,sewed,1
70,time,2
71,turned,2
72,slip,1
73,waited,3
74,go,6
75,begged,2
76,took,12
77,nothing,2
78,thought,1
79,man,4
80,dead,1
81,many,1
82,wont,1
83,sleep,1
84,let,2
85,please,1
86,mollymolly,1
87,woman,2
88,gold,3
89,much,1
90,came,9
91,ill,3
92,carle,3
93,one,4
94,batter,1
95,yet,3
96,door,5
97,mewed,1
98,cat,3
99,quoth,3
100,ask,1
101,needle,3
102,knocked,1
103,inside,1
104,deadwell,1
105,safe,1
106,care,1
107,would,14
108,hole,1
109,upon,3
110,never,9
111,chain,2
112,stopped,1
113,travelled,2
114,story,1
115,wakened,2
116,lay,1
117,purse,3
118,oh,2
119,home,5
120,light,1
121,king,7
122,tree,1
123,thread,3
124,hungry,2
125,u,3
126,noticed,1
127,asleep,2
128,hand,4
129,hang,3
130,sleeping,1
131,saidwife,1
132,reached,2
133,rose,1
134,seegiant,1
135,pillow,2
136,minded,1
137,could,3
138,wall,2
139,long,1
140,twice,1
141,jumped,2
142,ordered,1
143,hid,2
144,poor,1
145,beside,1
146,cut,1
147,knock,1
148,see,3
149,made,1
150,ring,3
151,three,5
152,straw,4
153,begun,1
154,loud,1
155,stick,1
156,little,1
157,aside,1
158,steal,3
159,whuppie,5
160,hair,3
161,get,3
162,said,13
163,second,4
164,spain,2
165,till,7
166,sound,2
167,dog,3
168,round,2
169,hold,1
170,set,2
171,sword,4
172,something,1
173,grand,1
174,rattle,1
175,marry,2
176,rope,3
177,bed,12
178,choose,2
179,ate,2
180,thickest,1
181,called,1
182,child,1
183,battered,1
184,eldest,2
185,sure,1
186,managed,4
187,yeve,1
188,began,3
189,away,2
190,married,3
191,bang,1
192,yemolly,1
193,wasnt,1
194,shear,3
195,club,1
196,giant,25
197,hard,1
198,got,11
199,armed,1
200,meat,1
201,sonwell,1
202,son,4
203,bread,1
204,night,2
205,helped,1
206,shortly,1
207,eaten,2
208,catcht,1
209,last,1
210,id,3
211,come,9
212,hide,1
213,illget,1
214,back,6
215,sack,6
216,clever,3
217,sonking,1
218,holegiant,1
219,seeoh,1
220,barked,1
221,woe,3
222,stop,1
223,lie,1
224,cried,1
225,house,8
226,cold,1
